,Article Title ,Label,Link,,The Classification is for the topic as well as the content of the article,
72100040,Quadratic Equation,1,https://en.wikipedia.org/wiki/Quadratic_equation,,Beginner,1
12041090,Complex Numbers ,1,https://en.wikipedia.org/wiki/Complex_number,,Intermediate,2
12041090,Bayes Theorem,2,https://en.wikipedia.org/wiki/Bayes%27_theorem,,Advance,3
12041090,Straight Lines,1,https://en.wikipedia.org/wiki/Line_(geometry),,Irrelevant,0
12041090,Functions,1,https://en.wikipedia.org/wiki/Function_(mathematics),,http://cs229.stanford.edu/proj2011/TopalovicRothfelsSaeta-ARecommendationEngineForWikipediaArticlesBasedOnConstrainedTrainingData.pdf,
12041090,L'Hopital's Rule,2,https://en.wikipedia.org/wiki/L%27H%C3%B4pital%27s_rule,,,
12041090,Intermediate Value Theorem,2,https://en.wikipedia.org/wiki/Intermediate_value_theorem,,,
12041090,Cauchy's Mean Value Theorem,3,https://en.wikipedia.org/wiki/Mean_value_theorem#Cauchy's_mean_value_theorem,,,
12041090,Rolle's Theorem,3,https://en.wikipedia.org/wiki/Rolle%27s_theorem,,,
12041090,Derivative,1,https://en.wikipedia.org/wiki/Derivative,,,
12041090,Integral,1,https://en.wikipedia.org/wiki/Integral,,,
12041090,Integration By Parts,2,https://en.wikipedia.org/wiki/Integration_by_parts,,,
12041090,Scalar Triple Product,3,https://en.wikipedia.org/wiki/Triple_product#Scalar_triple_product,,,
12041090,,3,https://en.wikipedia.org/wiki/Triple_product#Vector_triple_product,,,
12040190,Number Theory,2,https://en.wikipedia.org/wiki/Number_theory,,,
12040190,Diophantine Geometry,0,https://en.wikipedia.org/wiki/Diophantine_geometry,,,
12040190,Rational Number,1,https://en.wikipedia.org/wiki/Rational_number,,,
12040190,Prime Number,1,https://en.wikipedia.org/wiki/Prime_number,,,
12040190,Composite Number,1,https://en.wikipedia.org/wiki/Composite_number,Note: Some Wikipedia articles have a general page and the topics are a section of that page. For example both the Scalar and Vector Triple Product ,,
12040190,Natural Number,1,https://en.wikipedia.org/wiki/Natural_number,"articles are in a single article named ""Triple Products"". So I have included the links to the respective sections. When someone will click on the link, ",,
12040190,Random Sampling,0,https://en.wikipedia.org/wiki/Sampling_(statistics)#Simple_random_sampling,that section of the article will be displayed on his screen.,,
12040190,Minimax,0,https://en.wikipedia.org/wiki/Minimax,,,
12040190,Chinese Remainder Theorem,2,https://en.wikipedia.org/wiki/Chinese_remainder_theorem,,,
12040190,Statistical Mathematics,2,https://en.wikipedia.org/wiki/Statistics,,,
12040190,Central Tendency,0,https://en.wikipedia.org/wiki/Central_tendency,,,
12040190,Normal Distribution,1,https://en.wikipedia.org/wiki/Normal_distribution,,,
12040190,Quantile Function,0,https://en.wikipedia.org/wiki/Quantile_function,,,
